date,slate_type,game_date_display,game_time_et,game_day,game_datetime_utc,game,player,team,position,mlb_id,prop,line,opposing_pitcher,pitcher,pitcher_hand,batter_hand,lineup_spot,starter_confirmed,hr_probability,real_hr_probability,probability,rating,smart_rank_score,edge,barrel_rate,hard_hit_rate,fly_ball_rate,exit_velocity,launch_angle,max_ev,statcast_source,iso,slg,pull_rate,pitcher_hr9,pitcher_barrel_allowed,primary_pitch,pitch_matchup,pitch_matchup_score,park,park_factor,park_score,weather_boost,weather,weather_score,wind_label,wind_score,wind_boost,wind_direction,wind_speed,temperature,humidity,confidence_score,risk,why_homer,why_fail,reason
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Tampa Bay Rays @ Cleveland Guardians,Junior Caminero,Tampa Bay Rays,3B,691406,Home Runs,0.5,Gavin Williams,Gavin Williams,R,R,2,Projected,8.35,8.35,8.35,82.3,99.0,6.27,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,0.239,0.496,51.1,1.53,Proxy,Pitch mix pending,Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,92.0,Progressive Field,Neutral,70.0,Neutral,Neutral,67.0,Neutral Wind,70.0,0,227.0,4.9,49.4,88.0,79.0,MED,Power score 96.9; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.53; Neutral; Neutral; Neutral Wind; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 79.0/100. Real HR probability estimate 8.35%. Power score 96.9; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.53; Neutral; Neutral; Neutral Wind; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Tampa Bay Rays @ Cleveland Guardians,Jonathan Aranda,Tampa Bay Rays,1B,666018,Home Runs,0.5,Gavin Williams,Gavin Williams,R,L,3,Projected,8.86,8.86,8.86,84.4,99.0,7.39,20.4,62.0,52.8,96.4,17.2,N/A,Proxy,0.238,0.467,49.7,1.53,Proxy,Pitch mix pending,LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,96.0,Progressive Field,Neutral,70.0,Neutral,Neutral,67.0,Neutral Wind,70.0,0,227.0,4.9,49.4,88.0,78.9,MED,Power score 91.9; Proxy power data; barrel rate 20.4; hard-hit 62; EV 96.4; projected lineup spot 3; pitcher HR/9 1.53; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 78.9/100. Real HR probability estimate 8.86%. Power score 91.9; Proxy power data; barrel rate 20.4; hard-hit 62; EV 96.4; projected lineup spot 3; pitcher HR/9 1.53; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Tampa Bay Rays @ Cleveland Guardians,Angel Martínez,Cleveland Guardians,LF,682657,Home Runs,0.5,Drew Rasmussen,Drew Rasmussen,R,S,3,Projected,8.18,8.18,8.18,81.6,99.0,5.9,21.7,62.0,54.3,97.0,17.6,N/A,Proxy,0.233,0.511,50.8,1.79,Proxy,Pitch mix pending,Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,92.0,Progressive Field,Neutral,70.0,Neutral,Neutral,67.0,Neutral Wind,70.0,0,227.0,4.9,49.4,88.0,78.1,MED,Power score 95.8; Proxy power data; barrel rate 21.7; hard-hit 62; EV 97; projected lineup spot 3; pitcher HR/9 1.79; Neutral; Neutral; Neutral Wind; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 78.1/100. Real HR probability estimate 8.18%. Power score 95.8; Proxy power data; barrel rate 21.7; hard-hit 62; EV 97; projected lineup spot 3; pitcher HR/9 1.79; Neutral; Neutral; Neutral Wind; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Tampa Bay Rays @ Cleveland Guardians,Daniel Schneemann,Cleveland Guardians,CF,682177,Home Runs,0.5,Drew Rasmussen,Drew Rasmussen,R,L,2,Projected,9.05,9.05,9.05,85.2,99.0,7.81,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,0.257,0.568,51.2,1.79,Proxy,Pitch mix pending,LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,96.0,Progressive Field,Neutral,70.0,Neutral,Neutral,67.0,Neutral Wind,70.0,0,227.0,4.9,49.4,88.0,79.9,MED,Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.79; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 79.9/100. Real HR probability estimate 9.05%. Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.79; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 227.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Los Angeles Angels @ Chicago White Sox,Drew Romo,Chicago White Sox,C,691011,Home Runs,0.5,Yusei Kikuchi,Yusei Kikuchi,L,S,3,Projected,8.57,8.57,8.57,83.2,99.0,6.75,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,1.0,1.333,51.2,0.93,Proxy,Pitch mix pending,Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,84.0,Rate Field,Neutral,70.0,Neutral,Neutral,64.0,Light Wind In,67.0,-3,270.0,5.0,48.8,73.0,80.1,MED,Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 3; pitcher HR/9 0.93; Neutral; Neutral; Light Wind In; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is L; weather direction is 270.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 80.1/100. Real HR probability estimate 8.57%. Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 3; pitcher HR/9 0.93; Neutral; Neutral; Light Wind In; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is L; weather direction is 270.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:10 PM ET,Wednesday,2026-04-29T17:10:00Z,Los Angeles Angels @ Chicago White Sox,Munetaka Murakami,Chicago White Sox,1B,808959,Home Runs,0.5,Yusei Kikuchi,Yusei Kikuchi,L,L,4,Projected,8.57,8.57,8.57,83.2,99.0,6.75,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,0.333,0.574,51.2,0.93,Proxy,Pitch mix pending,Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,84.0,Rate Field,Neutral,70.0,Neutral,Neutral,64.0,Light Wind In,67.0,-3,270.0,5.0,48.8,73.0,80.1,MED,Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 4; pitcher HR/9 0.93; Neutral; Neutral; Light Wind In; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is L; weather direction is 270.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 80.1/100. Real HR probability estimate 8.57%. Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 4; pitcher HR/9 0.93; Neutral; Neutral; Light Wind In; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is L; weather direction is 270.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:40 PM ET,Wednesday,2026-04-29T17:40:00Z,Seattle Mariners @ Minnesota Twins,Dominic Canzone,Seattle Mariners,RF,686527,Home Runs,0.5,Taj Bradley,Taj Bradley,R,L,4,Projected,8.76,8.76,8.76,84.0,99.0,7.17,21.5,62.0,54.1,97.0,17.5,N/A,Proxy,0.238,0.508,50.7,1.06,Proxy,Pitch mix pending,LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,91.0,Target Field,Neutral,67.5,Neutral,Neutral,67.0,Neutral Wind,70.0,0,286.0,7.0,44.2,61.0,78.5,MED,Power score 95.4; Proxy power data; barrel rate 21.5; hard-hit 62; EV 97; projected lineup spot 4; pitcher HR/9 1.06; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 286.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 78.5/100. Real HR probability estimate 8.76%. Power score 95.4; Proxy power data; barrel rate 21.5; hard-hit 62; EV 97; projected lineup spot 4; pitcher HR/9 1.06; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 286.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",1:40 PM ET,Wednesday,2026-04-29T17:40:00Z,Seattle Mariners @ Minnesota Twins,Luke Raley,Seattle Mariners,RF,670042,Home Runs,0.5,Taj Bradley,Taj Bradley,R,L,2,Projected,8.86,8.86,8.86,84.4,99.0,7.39,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,0.256,0.512,51.2,1.06,Proxy,Pitch mix pending,LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,91.0,Target Field,Neutral,67.5,Neutral,Neutral,67.0,Neutral Wind,70.0,0,286.0,7.0,44.2,61.0,79.0,MED,Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.06; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 286.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 79.0/100. Real HR probability estimate 8.86%. Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.06; Neutral; Neutral; Neutral Wind; LHB platoon look vs RHP; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; LHB vs RHP advantage check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is 286.0; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",2:35 PM ET,Wednesday,2026-04-29T18:35:00Z,New York Yankees @ Texas Rangers,Josh Jung,Texas Rangers,3B,673962,Home Runs,0.5,Elmer Rodríguez,Elmer Rodríguez,R,R,2,Projected,8.26,8.26,8.26,81.9,99.0,6.07,22.0,62.0,54.8,97.0,17.7,N/A,Proxy,0.237,0.557,51.2,1.1,Proxy,Pitch mix pending,Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile,84.0,Globe Life Field,Slight Boost,76.2,Roof/Controlled,Roof/Controlled,70.0,Controlled,70.0,0,Controlled,0.0,72.0,50.0,78.6,MED,Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.1; Slight Boost; Roof/Controlled; Controlled; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is Controlled; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 78.6/100. Real HR probability estimate 8.26%. Power score 97; Proxy power data; barrel rate 22; hard-hit 62; EV 97; projected lineup spot 2; pitcher HR/9 1.1; Slight Boost; Roof/Controlled; Controlled; Same-side matchup; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Elite power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is Controlled; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
2026-04-29,TODAY,"Apr 29, 2026",2:35 PM ET,Wednesday,2026-04-29T18:35:00Z,New York Yankees @ Texas Rangers,Paul Goldschmidt,New York Yankees,1B,502671,Home Runs,0.5,Nathan Eovaldi,Nathan Eovaldi,R,R,5,Projected,8.06,8.06,8.06,81.1,99.0,5.63,17.2,58.7,48.7,94.3,16.2,N/A,Proxy,0.25,0.429,46.9,2.52,Proxy,Pitch mix pending,Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Strong power profile,90.0,Globe Life Field,Slight Boost,76.2,Roof/Controlled,Roof/Controlled,70.0,Controlled,70.0,0,Controlled,0.0,72.0,50.0,77.9,MED,Power score 81.7; Proxy power data; barrel rate 17.2; hard-hit 58.7; EV 94.3; projected lineup spot 5; pitcher HR/9 2.52; Slight Boost; Roof/Controlled; Controlled; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Strong power profile; Same-side split check.,Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is Controlled; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.,HR confidence 77.9/100. Real HR probability estimate 8.06%. Power score 81.7; Proxy power data; barrel rate 17.2; hard-hit 58.7; EV 94.3; projected lineup spot 5; pitcher HR/9 2.52; Slight Boost; Roof/Controlled; Controlled; Same-side matchup; Pitcher allows elevated HR/9; Real Statcast barrel rate is elite; Hard-hit profile supports HR upside; Exit velocity supports power; Strong power profile; Same-side split check. Risk note: Home runs are low-frequency events; lineup is projected not confirmed; pitcher hand is R; weather direction is Controlled; full pitch-by-pitch mix is still pending until dedicated pitch feed is connected.
